"Korean_Champ","English_Champ","Top","Jungle","Middle","Bottom","Support","search"
"블리츠크랭크","Blitzcrank",0,0,0,0,2,"blitzcrank"
"비에고","Viego",5,3,2,0,0,"viego"
"빅토르","Viktor",0,0,3,0,0,"viktor"
"뽀삐","Poppy",2,3,0,0,4,"poppy"
"사미라","Samira",0,0,0,1,0,"samira"
"사이온","Sion",3,0,4,0,0,"sion"
"사일러스","Sylas",1,0,1,0,0,"sylas"
"샤코","Shaco",0,1,0,0,2,"shaco"
"세나","Senna",0,0,0,5,1,"senna"
"세라핀","Seraphine",0,0,0,0,4,"seraphine"
"세주아니","Sejuani",0,4,0,0,0,"sejuani"
"세트","Sett",1,0,3,0,5,"sett"
"소나","Sona",0,0,0,0,5,"sona"
"소라카","Soraka",0,0,0,0,4,"soraka"
"쉔","Shen",1,0,0,0,5,"shen"
"쉬바나","Shyvana",0,5,0,0,0,"shyvana"
"스웨인","Swain",0,0,0,2,4,"swain"
"시비르","Sivir",0,0,0,2,0,"sivir"
"신 짜오","Xin Zhao",0,2,0,0,0,"xinzhao"
"신드라","Syndra",0,0,5,0,0,"syndra"
"신지드","Singed",4,0,0,0,0,"singed"
"쓰레쉬","Thresh",0,0,0,0,1,"thresh"
"아리","Ahri",0,0,2,0,0,"ahri"
"아무무","Amumu",0,5,0,0,0,"amumu"
"아우렐리온 솔","Aurelion Sol",0,0,2,0,0,"aurelionsol"
"아이번","Ivern",0,4,0,0,0,"ivern"
"아지르","Azir",0,0,5,0,0,"azir"
"아칼리","Akali",3,0,2,0,0,"akali"
"아트록스","Aatrox",1,0,0,0,0,"aatrox"
"아펠리오스","Aphelios",0,0,0,5,0,"aphelios"
"알리스타","Alistar",0,0,0,0,2,"alistar"
"애니","Annie",0,0,3,0,0,"annie"
"애니비아","Anivia",0,0,2,0,4,"anivia"
"애쉬","Ashe",0,0,0,4,0,"ashe"
"야스오","Yasuo",5,0,2,5,0,"yasuo"
"에코","Ekko",0,3,3,0,0,"ekko"
"엘리스","Elise",0,1,0,0,0,"elise"
"오공","Wukong",2,5,5,0,0,"monkeyking"
"오른","Ornn",2,0,0,0,0,"ornn"
"오리아나","Orianna",0,0,5,0,0,"orianna"
"올라프","Olaf",0,4,0,0,0,"olaf"
"요네","Yone",5,0,3,0,0,"yone"
"요릭","Yorick",5,0,0,0,0,"yorick"
"우디르","Udyr",0,4,0,0,0,"udyr"
"우르곳","Urgot",5,0,0,0,0,"urgot"
"워윅","Warwick",4,3,0,0,0,"warwick"
"유미","Yuumi",0,0,0,0,3,"yuumi"
"이렐리아","Irelia",4,0,5,0,0,"irelia"
"이블린","Evelynn",0,2,0,0,0,"evelynn"
"이즈리얼","Ezreal",0,0,0,3,0,"ezreal"
"일라오이","Illaoi",5,0,0,0,0,"illaoi"
