"Line","Champion","VsChampion","VsWinRate","VsTotalPlayed"
"support","blitzcrank","thresh","0.5153",17175
"support","blitzcrank","senna","0.4923",12703
"support","blitzcrank","xerath","0.5139",10063
"support","blitzcrank","lulu","0.5038",10035
"support","blitzcrank","leona","0.4687",9853
"support","blitzcrank","alistar","0.4907",8714
"support","blitzcrank","nautilus","0.5018",7350
"support","blitzcrank","lux","0.5391",7285
"support","blitzcrank","yuumi","0.5357",5488
"support","blitzcrank","pyke","0.5366",5017
"support","blitzcrank","morgana","0.5164",4506
"support","blitzcrank","maokai","0.4887",2975
"support","blitzcrank","karma","0.5477",2947
"support","blitzcrank","sett","0.5197",2771
"support","blitzcrank","pantheon","0.5225",2639
"support","blitzcrank","galio","0.5045",2569
"support","blitzcrank","swain","0.4977",2347
"support","blitzcrank","brand","0.4876",2293
"support","blitzcrank","soraka","0.5266",2239
"support","blitzcrank","zyra","0.4988",2123
"support","blitzcrank","zilean","0.4791",1935
"support","blitzcrank","shaco","0.4921",1898
"support","blitzcrank","seraphine","0.5510",1773
"support","blitzcrank","rell","0.5236",1736
"support","blitzcrank","rakan","0.4816",1601
"support","blitzcrank","janna","0.5031",1447
"support","blitzcrank","vel'koz","0.5032",1407
"support","blitzcrank","bard","0.5178",1294
"support","blitzcrank","nami","0.5485",1227
"support","blitzcrank","braum","0.5041",1206
"support","blitzcrank","sona","0.5175",858
"support","blitzcrank","shen","0.5083",779
"support","blitzcrank","neeko","0.5362",621
"support","blitzcrank","veigar","0.5308",616
"support","blitzcrank","zac","0.4655",537
"support","blitzcrank","taric","0.4560",511
"support","blitzcrank","gragas","0.5070",499
"support","blitzcrank","anivia","0.5321",421
"support","blitzcrank","poppy","0.5266",395
"top","viego","sett","0.4412",1523
"top","viego","sylas","0.5292",1438
"top","viego","aatrox","0.4830",1209
"top","viego","renekton","0.4690",870
"top","viego","shen","0.4632",816
"top","viego","irelia","0.5141",815
"top","viego","akali","0.5045",781
"top","viego","leesin","0.4992",613
"top","viego","malphite","0.4598",609
"top","viego","gwen","0.5456",603
"top","viego","mordekaiser","0.5082",549
"top","viego","darius","0.4886",526
"top","viego","ornn","0.4537",518
"top","viego","jayce","0.5097",518
"top","viego","garen","0.4766",512
"top","viego","fiora","0.4406",488
"top","viego","jax","0.4781",456
"top","viego","gnar","0.4531",426
"top","viego","riven","0.4941",423
"top","viego","rumble","0.5027",368
"top","viego","kayle","0.5151",365
"top","viego","vladimir","0.5356",351
"top","viego","sion","0.5246",345
"top","viego","volibear","0.4211",342
"top","viego","camille","0.5100",300
"top","viego","nasus","0.4916",299
"top","viego","teemo","0.5072",276
"top","viego","gangplank","0.5211",261
"top","viego","wukong","0.4724",254
"top","viego","vayne","0.4760",250
"top","viego","kennen","0.4329",231
"top","viego","poppy","0.4903",206
"top","viego","lucian","0.5126",199
"top","viego","tryndamere","0.4545",198
"top","viego","kled","0.4819",193
