"Line","Champion","VsChampion","VsWinRate","VsTotalPlayed"
"top","garen","sett","0.4965",5174
"top","garen","sylas","0.5339",4156
"top","garen","aatrox","0.5039",4009
"top","garen","renekton","0.5416",3015
"top","garen","shen","0.5078",2867
"top","garen","darius","0.4818",2615
"top","garen","irelia","0.5519",2602
"top","garen","mordekaiser","0.4824",2496
"top","garen","akali","0.4907",2311
"top","garen","jax","0.5695",2035
"top","garen","gwen","0.5427",2003
"top","garen","leesin","0.5271",1954
"top","garen","malphite","0.5173",1912
"top","garen","ornn","0.4976",1682
"top","garen","vayne","0.4819",1633
"top","garen","riven","0.5199",1608
"top","garen","fiora","0.5207",1598
"top","garen","gnar","0.4649",1525
"top","garen","volibear","0.5038",1314
"top","garen","nasus","0.5229",1268
"top","garen","teemo","0.4881",1223
"top","garen","jayce","0.5375",1213
"top","garen","kayle","0.4784",1135
"top","garen","camille","0.4704",1065
"top","garen","vladimir","0.5010",994
"top","garen","rumble","0.5026",977
"top","garen","wukong","0.5049",925
"top","garen","urgot","0.5110",771
"top","garen","sion","0.5137",765
"top","garen","gangplank","0.5434",760
"top","garen","kennen","0.5219",730
"top","garen","kled","0.4806",720
"top","garen","tryndamere","0.4726",694
"top","garen","poppy","0.5142",671
"top","garen","quinn","0.4590",647
"top","garen","cho'gath","0.4745",607
"top","garen","illaoi","0.5190",580
"top","garen","lucian","0.5434",576
"top","garen","rengar","0.5242",557
"top","garen","yasuo","0.5456",515
"top","garen","viego","0.5234",512
"top","garen","warwick","0.5321",468
"top","garen","maokai","0.4920",435
"top","garen","ryze","0.5864",411
"top","garen","zac","0.4541",403
"top","garen","dr.mundo","0.5748",381
"top","garen","singed","0.4857",315
"top","garen","yone","0.5127",314
"top","garen","trundle","0.4824",313
"top","garen","yorick","0.5114",307
"top","garen","kalista","0.4837",306
"top","garen","heimerdinger","0.5258",291
"top","garen","nocturne","0.5345",290
"top","garen","pantheon","0.4762",273
"mid","garen","zed","0.5269",1911
"mid","garen","yasuo","0.5028",1233
"mid","garen","katarina","0.5379",937
"mid","garen","talon","0.5023",852
"mid","garen","sylas","0.5316",822
"mid","garen","yone","0.5082",608
"mid","garen","akali","0.4875",562
"mid","garen","qiyana","0.5466",494
"mid","garen","irelia","0.5878",410
"mid","garen","leblanc","0.4914",409
"mid","garen","fizz","0.5813",406
"mid","garen","pantheon","0.4685",365
"mid","garen","viego","0.4890",362
"mid","garen","lucian","0.4939",326
"mid","garen","galio","0.5884",311
"mid","garen","xerath","0.4781",274
"mid","garen","twistedfate","0.4727",256
"mid","garen","vladimir","0.5182",247
"mid","garen","viktor","0.5232",237
"mid","garen","ahri","0.4925",199
"mid","garen","sett","0.5053",188
"mid","garen","renekton","0.4971",173
"mid","garen","diana","0.4878",164
"mid","garen","malphite","0.4745",137
"mid","garen","ekko","0.5672",134
"mid","garen","zoe","0.4924",132
"mid","garen","orianna","0.4758",124
"mid","garen","anivia","0.5122",123
"mid","garen","rumble","0.5207",121
"mid","garen","lux","0.5546",119
"mid","garen","nocturne","0.4870",115
"mid","garen","kassadin","0.5088",114
"mid","garen","ryze","0.4912",114
"mid","garen","malzahar","0.5104",96
