line,champion1,champion2,winning_rage,match_count
Top,Aatrox,Sett,51.05,"4,760"
Top,Aatrox,Sylas,51.26,"3,699"
Top,Aatrox,Renekton,52.51,"3,089"
Top,Aatrox,Irelia,52.42,"2,661"
Top,Aatrox,Shen,49.82,"2,457"
Top,Aatrox,Fiora,49.45,"2,451"
Top,Aatrox,Akali,52.64,"2,200"
Top,Aatrox,Malphite,45.97,"1,910"
Top,Aatrox,Darius,50.17,"1,768"
Top,Aatrox,Jayce,49.66,"1,764"
Top,Aatrox,Mordekaiser,48.5,"1,701"
Top,Aatrox,Lee Sin,49.85,"1,635"
Top,Aatrox,Ornn,47.65,"1,576"
Top,Aatrox,Gwen,49.07,"1,551"
Top,Aatrox,Gnar,50.03,"1,547"
Top,Aatrox,Garen,49.8,"1,520"
Top,Aatrox,Jax,48.86,"1,230"
Top,Aatrox,Riven,48.08,"1,200"
Top,Aatrox,Volibear,48.75,"1,198"
Top,Aatrox,Wukong,47.15,"1,156"
Top,Aatrox,Camille,48.05,"1,126"
Top,Aatrox,Rumble,52.99,"1,070"
Top,Aatrox,Vladimir,51.93,986
Top,Aatrox,Kayle,46.3,946
Top,Aatrox,Kennen,47.02,840
Top,Aatrox,Kled,50.12,810
Top,Aatrox,Vayne,48.05,795
Top,Aatrox,Sion,48.61,792
Top,Aatrox,Gangplank,57.38,779
Top,Aatrox,Urgot,52.01,696
Top,Aatrox,Nasus,48.55,653
Top,Aatrox,Teemo,54.57,634
Top,Aatrox,Poppy,46.69,619
Top,Aatrox,Lucian,54.69,576
Top,Aatrox,Maokai,45.79,570
Top,Aatrox,Viego,52.92,497
Top,Aatrox,Illaoi,48.67,487
Top,Aatrox,Yasuo,53.32,467
Top,Aatrox,Tryndamere,50.65,464
Top,Aatrox,Warwick,50.12,415
Top,Aatrox,Rengar,51,402
Top,Aatrox,Nocturne,48.09,393
Top,Aatrox,Cho'Gath,47.75,356
Top,Aatrox,Zac,47.48,337
Top,Aatrox,Ryze,55.62,329
Top,Aatrox,Dr. Mundo,52.85,316
Top,Aatrox,Heimerdinger,47.52,303
Top,Aatrox,Yorick,47.67,300
Top,Aatrox,Quinn,50.67,298
Top,Aatrox,Pantheon,43.29,298
Top,Aatrox,Yone,50.17,295
Top,Aatrox,Kalista,53.74,294
Top,Aatrox,Trundle,49.64,278
Top,Aatrox,Singed,48.21,251
Middle,Ahri,Sylas,50.96,"1,460"
Middle,Ahri,Zed,50.35,"1,301"
Middle,Ahri,Yasuo,48.78,"1,148"
Middle,Ahri,Akali,55.75,"1,139"
Middle,Ahri,LeBlanc,51.43,"1,085"
Middle,Ahri,Katarina,47.53,970
Middle,Ahri,Talon,51.22,898
Middle,Ahri,Yone,51.42,883
Middle,Ahri,Xerath,47.04,693
Middle,Ahri,Twisted Fate,51.76,624
Middle,Ahri,Qiyana,52.21,544
Middle,Ahri,Viktor,50.86,525
Middle,Ahri,Lucian,55.77,511
Middle,Ahri,Galio,46.01,489
Middle,Ahri,Viego,52.37,485
Middle,Ahri,Vladimir,53.53,467
Middle,Ahri,Pantheon,52.1,453
Middle,Ahri,Irelia,53.08,439
Middle,Ahri,Fizz,48.61,432
Middle,Ahri,Zoe,53.49,372
Middle,Ahri,Lux,50,360
Middle,Ahri,Orianna,54.74,327
