"","from","to","winningRate","matchCount","winningRateText","line"
"1","Sett",51.05,4760,"Win","Top","Aatrox"
"2","Sylas",51.26,3699,"Win","Top","Aatrox"
"3","Renekton",52.51,3089,"Win","Top","Aatrox"
"4","Irelia",52.42,2661,"Win","Top","Aatrox"
"5","Shen",49.82,2457,"Lose","Top","Aatrox"
"6","Fiora",49.45,2451,"Lose","Top","Aatrox"
"7","Akali",52.64,2200,"Win","Top","Aatrox"
"8","Malphite",45.97,1910,"Lose","Top","Aatrox"
"9","Darius",50.17,1768,"Win","Top","Aatrox"
"10","Jayce",49.66,1764,"Lose","Top","Aatrox"
"11","Mordekaiser",48.5,1701,"Lose","Top","Aatrox"
"12","Lee Sin",49.85,1635,"Lose","Top","Aatrox"
"13","Ornn",47.65,1576,"Lose","Top","Aatrox"
"14","Gwen",49.07,1551,"Lose","Top","Aatrox"
"15","Gnar",50.03,1547,"Win","Top","Aatrox"
"16","Garen",49.8,1520,"Lose","Top","Aatrox"
"17","Jax",48.86,1230,"Lose","Top","Aatrox"
"18","Riven",48.08,1200,"Lose","Top","Aatrox"
"19","Volibear",48.75,1198,"Lose","Top","Aatrox"
"20","Wukong",47.15,1156,"Lose","Top","Aatrox"
"21","Camille",48.05,1126,"Lose","Top","Aatrox"
"22","Rumble",52.99,1070,"Win","Top","Aatrox"
"23","Vladimir",51.93,986,"Win","Top","Aatrox"
"24","Kayle",46.3,946,"Lose","Top","Aatrox"
"25","Kennen",47.02,840,"Lose","Top","Aatrox"
"26","Kled",50.12,810,"Win","Top","Aatrox"
"27","Vayne",48.05,795,"Lose","Top","Aatrox"
"28","Sion",48.61,792,"Lose","Top","Aatrox"
"29","Gangplank",57.38,779,"Win","Top","Aatrox"
"30","Urgot",52.01,696,"Win","Top","Aatrox"
"31","Nasus",48.55,653,"Lose","Top","Aatrox"
"32","Teemo",54.57,634,"Win","Top","Aatrox"
"33","Poppy",46.69,619,"Lose","Top","Aatrox"
"34","Lucian",54.69,576,"Win","Top","Aatrox"
"35","Maokai",45.79,570,"Lose","Top","Aatrox"
"36","Viego",52.92,497,"Win","Top","Aatrox"
"37","Illaoi",48.67,487,"Lose","Top","Aatrox"
"38","Yasuo",53.32,467,"Win","Top","Aatrox"
"39","Tryndamere",50.65,464,"Win","Top","Aatrox"
"40","Warwick",50.12,415,"Win","Top","Aatrox"
"41","Rengar",51,402,"Win","Top","Aatrox"
"42","Nocturne",48.09,393,"Lose","Top","Aatrox"
"43","Cho'Gath",47.75,356,"Lose","Top","Aatrox"
"44","Zac",47.48,337,"Lose","Top","Aatrox"
"45","Ryze",55.62,329,"Win","Top","Aatrox"
"46","Dr. Mundo",52.85,316,"Win","Top","Aatrox"
"47","Heimerdinger",47.52,303,"Lose","Top","Aatrox"
"48","Yorick",47.67,300,"Lose","Top","Aatrox"
"49","Quinn",50.67,298,"Win","Top","Aatrox"
"50","Pantheon",43.29,298,"Lose","Top","Aatrox"
"51","Yone",50.17,295,"Win","Top","Aatrox"
"52","Kalista",53.74,294,"Win","Top","Aatrox"
"53","Trundle",49.64,278,"Lose","Top","Aatrox"
"54","Singed",48.21,251,"Lose","Top","Aatrox"
"55","Sylas",50.96,1460,"Win","Middle","Ahri"
"56","Zed",50.35,1301,"Win","Middle","Ahri"
"57","Yasuo",48.78,1148,"Lose","Middle","Ahri"
"58","Akali",55.75,1139,"Win","Middle","Ahri"
"59","LeBlanc",51.43,1085,"Win","Middle","Ahri"
"60","Katarina",47.53,970,"Lose","Middle","Ahri"
"61","Talon",51.22,898,"Win","Middle","Ahri"
"62","Yone",51.42,883,"Win","Middle","Ahri"
"63","Xerath",47.04,693,"Lose","Middle","Ahri"
"64","Twisted Fate",51.76,624,"Win","Middle","Ahri"
"65","Qiyana",52.21,544,"Win","Middle","Ahri"
"66","Viktor",50.86,525,"Win","Middle","Ahri"
"67","Lucian",55.77,511,"Win","Middle","Ahri"
"68","Galio",46.01,489,"Lose","Middle","Ahri"
"69","Viego",52.37,485,"Win","Middle","Ahri"
"70","Vladimir",53.53,467,"Win","Middle","Ahri"
"71","Pantheon",52.1,453,"Win","Middle","Ahri"
"72","Irelia",53.08,439,"Win","Middle","Ahri"
"73","Fizz",48.61,432,"Lose","Middle","Ahri"
"74","Zoe",53.49,372,"Win","Middle","Ahri"
"75","Lux",50,360,"Draw","Middle","Ahri"
"76","Orianna",54.74,327,"Win","Middle","Ahri"
"77","Anivia",50.32,316,"Win","Middle","Ahri"
"78","Ekko",44.98,289,"Lose","Middle","Ahri"
"79","Diana",51.07,280,"Win","Middle","Ahri"
"80","Rumble",53.97,252,"Win","Middle","Ahri"
"81","Kassadin",53.22,233,"Win","Middle","Ahri"
"82","Syndra",50.9,222,"Win","Middle","Ahri"
"83","Malzahar",46.7,197,"Lose","Middle","Ahri"
"84","Ryze",62.35,170,"Win","Middle","Ahri"
"85","Nocturne",48.28,145,"Lose","Middle","Ahri"
"86","Malphite",52.41,145,"Win","Middle","Ahri"
"87","Annie",51.41,142,"Win","Middle","Ahri"
"88","Lissandra",43.26,141,"Lose","Middle","Ahri"
"89","Corki",44.29,140,"Lose","Middle","Ahri"
"90","Jayce",51.15,131,"Win","Middle","Ahri"
