from,to,title,length,win,color,arrows,dashes,value,smooth
1,106,<p> Match Cnt : <b>4760</b><br> Winning rate : <b>51.05</b></p>,1000,51.05,#8CB4F7,to,FALSE,4760,FALSE
1,116,<p> Match Cnt : <b>3699</b><br> Winning rate : <b>51.26</b></p>,1000,51.26,#8CB4F7,to,FALSE,3699,FALSE
1,97,<p> Match Cnt : <b>3089</b><br> Winning rate : <b>52.51</b></p>,1000,52.51,#8CB4F7,to,FALSE,3089,FALSE
1,42,<p> Match Cnt : <b>2661</b><br> Winning rate : <b>52.42</b></p>,1000,52.42,#8CB4F7,to,FALSE,2661,FALSE
1,108,<p> Match Cnt : <b>2457</b><br> Winning rate : <b>49.82</b></p>,1000,49.82,#F6807F,to,FALSE,2457,FALSE
1,30,<p> Match Cnt : <b>2451</b><br> Winning rate : <b>49.45</b></p>,1000,49.45,#F6807F,to,FALSE,2451,FALSE
1,3,<p> Match Cnt : <b>2200</b><br> Winning rate : <b>52.64</b></p>,1000,52.64,#8CB4F7,to,FALSE,2200,FALSE
1,71,<p> Match Cnt : <b>1910</b><br> Winning rate : <b>45.97</b></p>,1000,45.97,#F6807F,to,FALSE,1910,FALSE
1,21,<p> Match Cnt : <b>1768</b><br> Winning rate : <b>50.17</b></p>,1000,50.17,#8CB4F7,to,FALSE,1768,FALSE
1,47,<p> Match Cnt : <b>1764</b><br> Winning rate : <b>49.66</b></p>,1000,49.66,#F6807F,to,FALSE,1764,FALSE
1,76,<p> Match Cnt : <b>1701</b><br> Winning rate : <b>48.5</b></p>,1000,48.5,#F6807F,to,FALSE,1701,FALSE
1,64,<p> Match Cnt : <b>1635</b><br> Winning rate : <b>49.85</b></p>,1000,49.85,#F6807F,to,FALSE,1635,FALSE
1,87,<p> Match Cnt : <b>1576</b><br> Winning rate : <b>47.65</b></p>,1000,47.65,#F6807F,to,FALSE,1576,FALSE
1,38,<p> Match Cnt : <b>1551</b><br> Winning rate : <b>49.07</b></p>,1000,49.07,#F6807F,to,FALSE,1551,FALSE
1,35,<p> Match Cnt : <b>1547</b><br> Winning rate : <b>50.03</b></p>,1000,50.03,#8CB4F7,to,FALSE,1547,FALSE
1,34,<p> Match Cnt : <b>1520</b><br> Winning rate : <b>49.8</b></p>,1000,49.8,#F6807F,to,FALSE,1520,FALSE
1,46,<p> Match Cnt : <b>1230</b><br> Winning rate : <b>48.86</b></p>,1000,48.86,#F6807F,to,FALSE,1230,FALSE
1,99,<p> Match Cnt : <b>1200</b><br> Winning rate : <b>48.08</b></p>,1000,48.08,#F6807F,to,FALSE,1200,FALSE
1,139,<p> Match Cnt : <b>1198</b><br> Winning rate : <b>48.75</b></p>,1000,48.75,#F6807F,to,FALSE,1198,FALSE
1,141,<p> Match Cnt : <b>1156</b><br> Winning rate : <b>47.15</b></p>,1000,47.15,#F6807F,to,FALSE,1156,FALSE
1,17,<p> Match Cnt : <b>1126</b><br> Winning rate : <b>48.05</b></p>,1000,48.05,#F6807F,to,FALSE,1126,FALSE
1,100,<p> Match Cnt : <b>1070</b><br> Winning rate : <b>52.99</b></p>,1000,52.99,#8CB4F7,to,FALSE,1070,FALSE
