id,shape,size,title,value,label,group,color,shadow
34,triangle,59745,<p>Line : <b>TM</b><br>Match Cnt : <b>59745</b><br>Tier : <b>4</b></p>,5974500,Garen,TM,#E41A1C,FALSE
32,circle,19504,<p>Line : <b>MS</b><br>Match Cnt : <b>19504</b><br>Tier : <b>3</b></p>,1950400,Galio,MS,#8DA0CB,FALSE
33,circle,84131,<p>Line : <b>T</b><br>Match Cnt : <b>84131</b><br>Tier : <b>3</b></p>,8413100,Gangplank,T,#BEAED4,FALSE
36,triangle,52085,<p>Line : <b>JS</b><br>Match Cnt : <b>52085</b><br>Tier : <b>4</b></p>,5208500,Gragas,JS,#CCEBC5,FALSE
37,square,7177,<p>Line : <b>J</b><br>Match Cnt : <b>7177</b><br>Tier : <b>5</b></p>,717700,Graves,J,#FFFFCC,FALSE
38,triangle,15034,<p>Line : <b>TJM</b><br>Match Cnt : <b>15034</b><br>Tier : <b>4</b></p>,1503400,Gwen,TJM,#666666,FALSE
35,diamond,4595,<p>Line : <b>T</b><br>Match Cnt : <b>4595</b><br>Tier : <b>2</b></p>,459500,Gnar,T,#BEAED4,FALSE
78,square,13700,<p>Line : <b>S</b><br>Match Cnt : <b>13700</b><br>Tier : <b>5</b></p>,1370000,Nami,S,#FCCDE5,FALSE
79,square,37244,<p>Line : <b>T</b><br>Match Cnt : <b>37244</b><br>Tier : <b>5</b></p>,3724400,Nasus,T,#BEAED4,FALSE
80,diamond,1647,<p>Line : <b>S</b><br>Match Cnt : <b>1647</b><br>Tier : <b>2</b></p>,164700,Nautilus,S,#FCCDE5,FALSE
83,circle,3107,<p>Line : <b>TJM</b><br>Match Cnt : <b>3107</b><br>Tier : <b>3</b></p>,310700,Nocturne,TJM,#666666,FALSE
84,square,9052,<p>Line : <b>JM</b><br>Match Cnt : <b>9052</b><br>Tier : <b>5</b></p>,905200,Nunu & Willump,JM,#FFFF33,FALSE
82,diamond,53732,<p>Line : <b>J</b><br>Match Cnt : <b>53732</b><br>Tier : <b>2</b></p>,5373200,Nidalee,J,#FFFFCC,FALSE
81,square,14271,<p>Line : <b>MS</b><br>Match Cnt : <b>14271</b><br>Tier : <b>5</b></p>,1427100,Neeko,MS,#8DA0CB,FALSE
21,diamond,6849,<p>Line : <b>T</b><br>Match Cnt : <b>6849</b><br>Tier : <b>2</b></p>,684900,Darius,T,#BEAED4,FALSE
22,triangle,62996,<p>Line : <b>JM</b><br>Match Cnt : <b>62996</b><br>Tier : <b>4</b></p>,6299600,Diana,JM,#FFFF33,FALSE
24,triangle,28867,<p>Line : <b>A</b><br>Match Cnt : <b>28867</b><br>Tier : <b>4</b></p>,2886700,Draven,A,#FDC086,FALSE
101,square,5194,<p>Line : <b>TM</b><br>Match Cnt : <b>5194</b><br>Tier : <b>5</b></p>,519400,Ryze,TM,#E41A1C,FALSE
93,circle,11444,<p>Line : <b>S</b><br>Match Cnt : <b>11444</b><br>Tier : <b>3</b></p>,1144400,Rakan,S,#FCCDE5,FALSE
94,triangle,4574,<p>Line : <b>J</b><br>Match Cnt : <b>4574</b><br>Tier : <b>4</b></p>,457400,Rammus,J,#FFFFCC,FALSE
70,square,29338,<p>Line : <b>MS</b><br>Match Cnt : <b>29338</b><br>Tier : <b>5</b></p>,2933800,Lux,MS,#8DA0CB,FALSE
100,circle,94946,<p>Line : <b>TJM</b><br>Match Cnt : <b>94946</b><br>Tier : <b>3</b></p>,9494600,Rumble,TJM,#666666,FALSE
97,triangle,4662,<p>Line : <b>TM</b><br>Match Cnt : <b>4662</b><br>Tier : <b>4</b></p>,466200,Renekton,TM,#E41A1C,FALSE
65,star,7326,<p>Line : <b>S</b><br>Match Cnt : <b>7326</b><br>Tier : <b>1</b></p>,732600,Leona,S,#FCCDE5,FALSE
95,diamond,48308,<p>Line : <b>J</b><br>Match Cnt : <b>48308</b><br>Tier : <b>2</b></p>,4830800,Rek'Sai,J,#FFFFCC,FALSE
96,circle,46996,<p>Line : <b>S</b><br>Match Cnt : <b>46996</b><br>Tier : <b>3</b></p>,4699600,Rell,S,#FCCDE5,FALSE
98,square,15955,<p>Line : <b>TJ</b><br>Match Cnt : <b>15955</b><br>Tier : <b>5</b></p>,1595500,Rengar,TJ,#CBD5E8,FALSE
68,square,155098,<p>Line : <b>TMA</b><br>Match Cnt : <b>155098</b><br>Tier : <b>5</b></p>,15509800,Lucian,TMA,#F2F2F2,FALSE
