,종목,코드,날짜,종가,상태,전일비,시가,고가,저가,거래량
0,BGF리테일,282330,2021.03.12,"172,500",하락,500,"171,000","177,000","170,500","43,226"
1,BGF리테일,282330,2021.03.11,"173,000",상승,"2,000","169,000","175,000","166,000","74,846"
2,BGF리테일,282330,2021.03.10,"171,000",하락,"2,500","175,500","176,000","166,000","40,579"
3,BGF리테일,282330,2021.03.09,"173,500",상승,"6,500","169,500","179,500","167,500","102,861"
4,BGF리테일,282330,2021.03.08,"167,000",하락,"1,000","166,500","171,000","165,000","25,929"
5,BGF리테일,282330,2021.03.05,"168,000",상승,"2,000","166,000","168,000","161,500","37,860"
6,BGF리테일,282330,2021.03.04,"166,000",하락,"3,500","164,000","169,000","163,000","35,476"
7,BGF리테일,282330,2021.03.03,"169,500",상승,"10,500","159,000","171,000","157,500","59,126"
8,BGF리테일,282330,2021.03.02,"159,000",전진,0,"159,500","163,000","155,500","33,430"
9,BGF리테일,282330,2021.02.26,"159,000",하락,"3,000","159,000","161,000","155,000","53,045"
10,BGF리테일,282330,2021.02.25,"162,000",상승,"2,500","159,000","163,500","158,500","37,059"
11,BGF리테일,282330,2021.02.24,"159,500",하락,"7,000","165,500","166,500","158,500","45,652"
12,BGF리테일,282330,2021.02.23,"166,500",하락,500,"165,500","166,500","161,000","27,910"
13,BGF리테일,282330,2021.02.22,"167,000",상승,"4,000","163,000","167,000","162,500","21,445"
14,BGF리테일,282330,2021.02.19,"163,000",하락,"2,500","162,000","166,500","159,500","36,630"
15,BGF리테일,282330,2021.02.18,"165,500",하락,"1,000","166,500","169,000","165,000","25,662"
16,BGF리테일,282330,2021.02.17,"166,500",하락,"8,000","171,000","173,500","165,000","43,092"
17,BGF리테일,282330,2021.02.16,"174,500",하락,"3,000","174,000","177,500","171,000","39,060"
18,BGF리테일,282330,2021.02.15,"177,500",상승,"7,000","172,000","177,500","169,500","182,653"
19,BGF리테일,282330,2021.02.10,"170,500",상승,"5,500","166,000","171,500","164,000","41,374"
20,BGF리테일,282330,2021.02.09,"165,000",상승,"2,000","163,500","166,000","162,000","36,145"
21,BGF리테일,282330,2021.02.08,"163,000",상승,500,"162,500","166,000","160,500","43,729"
22,BGF리테일,282330,2021.02.05,"162,500",상승,"1,000","162,000","164,000","160,500","25,699"
23,BGF리테일,282330,2021.02.04,"161,500",하락,"3,000","162,500","164,000","160,000","32,933"
24,BGF리테일,282330,2021.02.03,"164,500",상승,"3,000","161,000","165,000","160,000","42,538"
25,BGF리테일,282330,2021.02.02,"161,500",하락,"2,500","163,000","165,000","160,500","62,919"
26,BGF리테일,282330,2021.02.01,"164,000",하락,"6,000","168,000","169,000","163,000","64,398"
27,BGF리테일,282330,2021.01.29,"170,000",상승,"5,000","165,000","181,000","162,000","200,940"
28,BGF리테일,282330,2021.01.28,"165,000",상승,"7,000","153,000","167,500","153,000","91,596"
