"날짜","종가","전일비","시가","고가","저가","거래량","종목"
"2021.03.25","81,200","200","81,000","82,100","80,800","14,652,572","삼성전자"
"2021.03.24","81,000","800","81,000","81,600","80,700","17,926,638","삼성전자"
"2021.03.23","81,800","200","82,600","82,900","81,800","13,299,907","삼성전자"
"2021.03.22","82,000","100","82,000","82,300","81,700","12,670,506","삼성전자"
"2021.03.19","81,900","1,000","82,100","82,500","81,800","15,869,700","삼성전자"
"2021.03.18","82,900","600","82,800","83,800","82,600","18,585,244","삼성전자"
"2021.03.17","82,300","500","82,800","82,900","82,000","11,625,146","삼성전자"
"2021.03.16","82,800","1,000","82,200","83,000","82,100","12,293,537","삼성전자"
"2021.03.15","81,800","1,000","82,800","82,900","81,800","13,735,798","삼성전자"
"2021.03.12","82,800","800","83,100","83,500","82,400","13,530,573","삼성전자"
"2021.03.11","82,000","1,100","81,000","82,500","81,000","23,818,297","삼성전자"
"2021.03.10","80,900","500","82,400","82,500","80,700","20,038,422","삼성전자"
"2021.03.09","81,400","600","81,400","81,900","80,600","25,420,764","삼성전자"
"2021.03.08","82,000","100","82,900","83,000","81,600","17,641,256","삼성전자"
"2021.03.05","82,100","300","81,100","82,600","81,100","20,508,971","삼성전자"
"2021.03.04","82,400","1,600","82,600","83,200","82,200","24,348,331","삼성전자"
"2021.03.03","84,000","400","83,500","84,000","82,800","19,882,132","삼성전자"
"2021.03.02","83,600","1,100","85,100","85,300","83,000","33,498,180","삼성전자"
"2021.02.26","82,500","2,800","82,800","83,400","82,000","38,520,800","삼성전자"
"2021.02.25","85,300","3,300","84,000","85,400","83,000","34,155,986","삼성전자"
"2021.02.24","82,000","0","81,800","83,600","81,300","26,807,651","삼성전자"
"2021.02.23","82,000","200","81,200","82,900","81,100","20,587,314","삼성전자"
"2021.02.22","82,200","400","83,800","84,200","82,200","25,419,886","삼성전자"
"2021.02.19","82,600","500","82,300","82,800","81,000","25,880,879","삼성전자"
"2021.02.18","82,100","1,100","83,200","83,600","82,100","21,327,683","삼성전자"
"2021.02.17","83,200","1,700","83,900","84,200","83,000","18,307,735","삼성전자"
"2021.02.16","84,900","700","84,500","86,000","84,200","20,483,100","삼성전자"
"2021.02.15","84,200","2,600","83,800","84,500","83,300","23,529,706","삼성전자"
"2021.02.10","81,600","1,100","82,600","82,600","81,600","23,025,766","삼성전자"
"2021.02.09","82,700","300","84,000","84,800","82,700","20,898,332","삼성전자"
"2021.02.08","83,000","500","83,800","84,200","83,000","15,338,765","삼성전자"
"2021.02.05","83,500","1,000","83,100","84,000","82,500","18,036,835","삼성전자"
"2021.02.04","82,500","2,100","83,500","83,800","82,100","24,171,688","삼성전자"
"2021.02.03","84,600","200","84,800","85,400","83,400","22,112,205","삼성전자"
"2021.02.02","84,400","1,400","84,100","86,400","83,700","26,302,077","삼성전자"
"2021.02.01","83,000","1,000","81,700","83,400","81,000","28,046,832","삼성전자"
"2021.01.29","82,000","1,700","84,500","85,000","82,000","39,615,978","삼성전자"
"2021.01.28","83,700","1,900","83,200","85,600","83,200","31,859,808","삼성전자"
